url,category,percentage_score,Strict-Transport-Security,X-Content-Type-Options,X-Frame-Options,Content-Security-Policy,X-XSS-Protection,Referrer-Policy,Permissions-Policy,Cross-Origin-Opener-Policy,Cross-Origin-Embedder-Policy,Cross-Origin-Resource-Policy,Expect-CT
http://www.scsita.org/aboutscsi/reads.html,Computers,45.0,1,1,1,0,0,0,0,0,0,0,0
http://llt.msu.edu/,Science,55.0,1,1,1,0,0,1,0,0,0,0,0
http://society.guardian.co.uk/ppp/01053750934200.html,Society,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.sewshoppe.com/,Shopping,30.0,0,1,1,0,0,0,0,0,0,0,0
http://www.guardian.co.uk/books/2001/apr/15/features.review3,Arts,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.geocities.com/total3rday/,Society,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.marielandel.com/,Business,85.0,1,1,1,0,1,1,1,1,1,1,0
http://www.stcuthbertsretirement.com/,Society,65.0,1,1,1,1,1,0,0,0,0,0,0
http://www.aphis.usda.gov/vs/ceah/cei/taf/iw_2000_files/domestic/rabbitcal.htm,Health,45.0,1,1,1,0,0,0,0,0,0,0,0
http://www.geocities.com/cubscoutpack458staffordva/,Recreation,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.cyber.com.au/users/conz/,Computers,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www2.ijs.si/~ruzic/e1/bio.html,Science,50.0,0,1,0,1,1,1,0,0,0,0,1
http://www.jacksonville.com/rssfeed/news.xml,News,90.0,1,1,1,1,1,1,1,1,0,1,0
http://www.barrcode.net/,Computers,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.rsc.org/,Science,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.vanandelarena.com/,Sports,55.0,1,1,1,1,0,0,0,0,0,0,0
http://www.auralight.net,Health,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.millikin.edu/athletics/tennis/,Sports,45.0,1,1,1,0,0,0,0,0,0,0,0
http://www.palmvalleygolf.com/,Sports,65.0,1,1,1,0,1,1,0,0,0,0,0
http://www.geocities.com/lyrics_archive/john_lennon/,Arts,75.0,1,1,1,1,1,1,0,0,0,0,0
http://jan.ucc.nau.edu/~jar/til.html,Society,15.0,1,0,0,0,0,0,0,0,0,0,0
http://www.infidels.org/electronic/email/secular.html,Society,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.scifi.com/sfw/issue157/games.html,Games,50.0,1,1,1,0,0,0,1,0,0,0,0
http://www.angelfire.com/falcon/southparkcheer/,Sports,15.0,0,0,1,0,0,0,0,0,0,0,0
http://www.cmt.com/art/search/art.main.jhtml?ai_id=507758,Arts,55.0,1,1,1,0,1,0,0,0,0,0,0
http://www.cidyzoo.com/,Arts,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.geocities.com/motorcity/show/9970/,Society,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.usatoday.com/life/movies/reviews/2007-06-14-silver-surfer_n.htm,Arts,90.0,1,1,1,1,1,1,1,1,0,1,0
http://www.heptune.com/geosong.html,Recreation,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.nebraska-grand-lodge.org/defaultlodge.asp?lodgeid=19,Society,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.interweavers.com/brett/lauralove.html,Arts,0.0,0,0,0,0,0,0,0,0,0,0,0
http://geocities.com/glitteringdaydreams/,Arts,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.stat.lsa.umich.edu/,Science,80.0,1,1,1,1,1,1,0,0,0,0,1
http://www.brassringfarm.net,Sports,0.0,0,0,0,0,0,0,0,0,0,0,0
http://deluxevids.deluxepass.com/,Adult,55.0,1,1,1,0,0,1,0,0,0,0,0
http://www.zms.org/,Society,25.0,1,0,0,1,0,0,0,0,0,0,0
http://www.geocities.com/mythicgirl/,Arts,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.guardian.co.uk/mountain/,Recreation,80.0,1,1,1,1,1,1,1,0,0,0,0
http://baseball.about.com,Sports,50.0,1,1,0,1,0,1,0,0,0,0,0
http://wc.rootsweb.ancestry.com/cgi-bin/igm.cgi?db=normansofmilton,Society,25.0,0,0,1,0,0,1,0,0,0,0,0
http://groups.yahoo.com/group/bdsm-idaho/,Adult,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.geocities.com/eureka/office/9035/,Business,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.geocities.com/gaias_song/willow.html,Society,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.sciflicks.com/the_fifth_element/,Arts,0.0,0,0,0,0,0,0,0,0,0,0,0
http://gislounge.com/features/aa042400.shtml,Science,40.0,1,1,0,0,1,0,0,0,0,0,0
http://www.geocities.com/psorpg2002/,Games,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.geocities.com/ferrisstaterubbergroup/,Reference,75.0,1,1,1,1,1,1,0,0,0,0,0
http://en.wikipedia.org/wiki/vanth,Society,30.0,1,1,0,0,0,0,0,0,0,0,0
http://www.counterculture.co.uk/album-review/stone-sour-stone-sour.html,Arts,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.kidzexpress.org,Society,30.0,1,1,0,0,0,0,0,0,0,0,0
http://jweagel.tripod.com/ultris.html,Games,0.0,0,0,0,0,0,0,0,0,0,0,0
http://ps2.ign.com/objects/751/751422.html,Games,15.0,1,0,0,0,0,0,0,0,0,0,0
http://www.actfl.org/i4a/pages/index.cfm?pageid=3342,Arts,70.0,1,1,1,0,1,1,1,0,0,0,0
http://www.fas.org/reallyready/,Home,95.0,1,1,1,1,1,1,1,1,1,1,0
http://www.crowntrade.50megs.com,Business,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.pallieter.fr/,Recreation,50.0,0,1,1,0,1,1,0,0,0,0,0
http://www.usatoday.com/sports/basketba/skw/sland/skwu10.htm,Sports,90.0,1,1,1,1,1,1,1,1,0,1,0
http://www.wholesaleequipment.net/,Business,0.0,0,0,0,0,0,0,0,0,0,0,0
https://sourceforge.net/projects/humane/,Computers,65.0,1,1,1,1,0,0,1,1,0,0,0
http://www.buchanantheatre.com/,Arts,30.0,1,1,0,0,0,0,0,0,0,0,0
http://fins.actwin.com/articles/choosinganemone.php,Recreation,30.0,1,1,0,0,0,0,0,0,0,0,0
http://www.tvihosting.com/index.html,Computers,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.worldtrek.org/odyssey/africa/timezimb.html,Recreation,0.0,0,0,0,0,0,0,0,0,0,0,0
http://ship25bsa.org/,Recreation,45.0,1,1,1,0,0,0,0,0,0,0,0
http://internetwritingworkshop.org/,Arts,40.0,0,1,1,0,1,0,0,0,0,0,0
http://www.ciscopress.com/,Computers,15.0,0,0,1,0,0,0,0,0,0,0,0
http://www.guardian.co.uk/archive/article/04273435172600.html,Science,80.0,1,1,1,1,1,1,1,0,0,0,0
http://tools.ietf.org/html/rfc161,Computers,70.0,1,1,1,1,0,1,0,1,0,0,0
http://www1.uea.ac.uk/cm/home/schools/sci/cap,Science,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.dollyknits.com/,Shopping,80.0,1,1,1,1,1,0,1,1,0,1,0
http://www.usatoday.com/sports/basketba/skw/usa/skwi11.htm,Sports,90.0,1,1,1,1,1,1,1,1,0,1,0
http://www.patrickball.com/,Arts,85.0,1,1,1,1,0,1,1,1,1,1,0
http://mtseymourskiclub.com,Sports,30.0,1,1,0,0,0,0,0,0,0,0,0
http://www.floatingharborsyndromesupport.com,Health,50.0,0,1,1,0,1,1,0,0,0,0,0
http://www.cpbs.ie,Sports,15.0,0,0,1,0,0,0,0,0,0,0,0
http://claire.merigeau.free.fr,Arts,0.0,0,0,0,0,0,0,0,0,0,0,0
http://music.yahoo.com/promos/doveawards/,Arts,80.0,1,1,1,1,1,1,0,0,0,0,1
http://www.sandiego.edu/business/index.php?areaid=12&amp;sectionid=73,Business,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.business.ku.edu/,Reference,45.0,1,1,1,0,0,0,0,0,0,0,0
